,Ligand,PDB_Crystal,Run,Binding_Energy
0,NKL,NKL_7f8h,70,41.46
0,NKL,NKL_7f8h,96,41.64
0,NKL,NKL_7f8h,67,42.4
0,NKL,NKL_7f8h,97,44.21
0,NKL,NKL_7f8h,6,45.2
0,NKL,NKL_7f8h,36,45.33
0,NKL,NKL_7f8h,20,46.03
0,NKL,NKL_7f8h,21,46.6
0,NKL,NKL_7f8h,71,46.69
0,NKL,NKL_7f8h,28,49.44
0,NKL,NKL_7f8h,100,50.27
0,NKL,NKL_7f8h,91,51.2
0,NKL,NKL_7f8h,30,52.61
0,NKL,NKL_7f8h,87,53.37
0,NKL,NKL_7f8h,99,56.75
0,NKL,NKL_7f8h,55,62.49
0,NKL,NKL_7f8h,3,62.78
0,NKL,NKL_7f8h,95,64.14
0,NKL,NKL_7f8h,94,67.09
0,NKL,NKL_7f8h,22,69.06
0,NKL,NKL_7f8h,60,87.14
0,NKL,NKL_7f8h,51,90.15
0,NKL,NKL_7f8h,31,92.46
0,NKL,NKL_7f8h,43,93.48
0,NKL,NKL_7f8h,38,97.69
0,NKL,NKL_7f8h,74,99.79
0,NKL,NKL_7f8h,82,100.7
0,NKL,NKL_7f8h,45,108.57
0,NKL,NKL_7f8h,64,123.48
0,NKL,NKL_7f8h,86,155.19
0,NKL,NKL_7f8h,65,204.86
0,NKL,NKL_7f8h,2,227.19
0,NKL,NKL_7f8h,88,280.03
0,NKL,NKL_7f8h,29,283.36
0,NKL,NKL_7f8h,14,286.92
0,NKL,NKL_7f8h,42,333.86
0,NKL,NKL_7f8h,15,99.72
0,NKL,NKL_7f8h,35,100.3
0,NKL,NKL_7f8h,85,113.56
0,NKL,NKL_7f8h,80,117.04
0,NKL,NKL_7f8h,50,117.59
0,NKL,NKL_7f8h,33,129.24
0,NKL,NKL_7f8h,24,132.89
0,NKL,NKL_7f8h,66,135.23
0,NKL,NKL_7f8h,56,136.53
0,NKL,NKL_7f8h,17,138.65
0,NKL,NKL_7f8h,8,163.05
0,NKL,NKL_7f8h,7,193.44
0,NKL,NKL_7f8h,89,202.81
0,NKL,NKL_7f8h,68,219.08
0,NKL,NKL_7f8h,92,224.94
0,NKL,NKL_7f8h,19,248.0
0,NKL,NKL_7f8h,77,257.59
0,NKL,NKL_7f8h,11,131.87
0,NKL,NKL_7f8h,44,138.6
0,NKL,NKL_7f8h,18,148.16
0,NKL,NKL_7f8h,81,167.5
0,NKL,NKL_7f8h,12,170.62
0,NKL,NKL_7f8h,78,205.01
0,NKL,NKL_7f8h,72,218.42
0,NKL,NKL_7f8h,1,228.39
0,NKL,NKL_7f8h,39,228.57
0,NKL,NKL_7f8h,4,282.6
0,NKL,NKL_7f8h,37,332.22
0,NKL,NKL_7f8h,49,334.59
0,NKL,NKL_7f8h,32,150.9
0,NKL,NKL_7f8h,5,166.69
0,NKL,NKL_7f8h,47,195.4
0,NKL,NKL_7f8h,52,284.18
0,NKL,NKL_7f8h,34,172.9
0,NKL,NKL_7f8h,73,219.2
0,NKL,NKL_7f8h,98,223.01
0,NKL,NKL_7f8h,76,230.62
0,NKL,NKL_7f8h,13,252.17
0,NKL,NKL_7f8h,9,267.87
0,NKL,NKL_7f8h,59,278.42
0,NKL,NKL_7f8h,48,319.31
0,NKL,NKL_7f8h,69,330.24
0,NKL,NKL_7f8h,10,363.96
0,NKL,NKL_7f8h,93,390.48
0,NKL,NKL_7f8h,62,275.35
0,NKL,NKL_7f8h,63,285.27
0,NKL,NKL_7f8h,25,285.97
0,NKL,NKL_7f8h,54,287.75
0,NKL,NKL_7f8h,61,305.39
0,NKL,NKL_7f8h,75,308.19
0,NKL,NKL_7f8h,84,309.61
0,NKL,NKL_7f8h,41,313.43
0,NKL,NKL_7f8h,53,315.85
0,NKL,NKL_7f8h,57,317.26
0,NKL,NKL_7f8h,16,328.11
0,NKL,NKL_7f8h,23,340.08
