Q5VYX0 PF01593 CHEMBL65761 CHEMBL489085 CHEMBL447022 CHEMBL505492 CHEMBL1796456 CHEMBL65252 CHEMBL3309739 CHEMBL3310011 CHEMBL4572140 CHEMBL3780346 CHEMBL4790734 CHEMBL4740937 CHEMBL291647 CHEMBL4763998 CHEMBL3780057 CHEMBL4744494 CHEMBL293004 CHEMBL4788778 CHEMBL1796458 CHEMBL1796460
Q8NBM8 PF01593 CHEMBL65761 CHEMBL489085 CHEMBL447022 CHEMBL505492 CHEMBL1796456 CHEMBL65252 CHEMBL3309739 CHEMBL3310011 CHEMBL4572140 CHEMBL3780346 CHEMBL4790734 CHEMBL4740937 CHEMBL291647 CHEMBL4763998 CHEMBL3780057 CHEMBL4744494 CHEMBL293004 CHEMBL4788778 CHEMBL1796458 CHEMBL1796460
Q6QHF9 PF01593 CHEMBL65761 CHEMBL489085 CHEMBL447022 CHEMBL505492 CHEMBL1796456 CHEMBL65252 CHEMBL3309739 CHEMBL3310011 CHEMBL4572140 CHEMBL3780346 CHEMBL4790734 CHEMBL4740937 CHEMBL291647 CHEMBL4763998 CHEMBL3780057 CHEMBL4744494 CHEMBL293004 CHEMBL4788778 CHEMBL1796458 CHEMBL1796460
Q9NWM0 PF01593 CHEMBL65761 CHEMBL489085 CHEMBL447022 CHEMBL505492 CHEMBL1796456 CHEMBL65252 CHEMBL3309739 CHEMBL3310011 CHEMBL4572140 CHEMBL3780346 CHEMBL4790734 CHEMBL4740937 CHEMBL291647 CHEMBL4763998 CHEMBL3780057 CHEMBL4744494 CHEMBL293004 CHEMBL4788778 CHEMBL1796458 CHEMBL1796460
O60341 PF01593 CHEMBL65761 CHEMBL489085 CHEMBL447022 CHEMBL505492 CHEMBL1796456 CHEMBL65252 CHEMBL3309739 CHEMBL3310011 CHEMBL4572140 CHEMBL3780346 CHEMBL4790734 CHEMBL4740937 CHEMBL291647 CHEMBL4763998 CHEMBL3780057 CHEMBL4744494 CHEMBL293004 CHEMBL4788778 CHEMBL1796458 CHEMBL1796460
Q8N2H3 PF01593 CHEMBL65761 CHEMBL489085 CHEMBL447022 CHEMBL505492 CHEMBL1796456 CHEMBL65252 CHEMBL3309739 CHEMBL3310011 CHEMBL4572140 CHEMBL3780346 CHEMBL4790734 CHEMBL4740937 CHEMBL291647 CHEMBL4763998 CHEMBL3780057 CHEMBL4744494 CHEMBL293004 CHEMBL4788778 CHEMBL1796458 CHEMBL1796460
Q8NB78 PF01593 CHEMBL65761 CHEMBL489085 CHEMBL447022 CHEMBL505492 CHEMBL1796456 CHEMBL65252 CHEMBL3309739 CHEMBL3310011 CHEMBL4572140 CHEMBL3780346 CHEMBL4790734 CHEMBL4740937 CHEMBL291647 CHEMBL4763998 CHEMBL3780057 CHEMBL4744494 CHEMBL293004 CHEMBL4788778 CHEMBL1796458 CHEMBL1796460
Q9UHG3 PF01593 CHEMBL65761 CHEMBL489085 CHEMBL447022 CHEMBL505492 CHEMBL1796456 CHEMBL65252 CHEMBL3309739 CHEMBL3310011 CHEMBL4572140 CHEMBL3780346 CHEMBL4790734 CHEMBL4740937 CHEMBL291647 CHEMBL4763998 CHEMBL3780057 CHEMBL4744494 CHEMBL293004 CHEMBL4788778 CHEMBL1796458 CHEMBL1796460
P21397 PF01593 CHEMBL65761 CHEMBL489085 CHEMBL447022 CHEMBL505492 CHEMBL1796456 CHEMBL65252 CHEMBL3309739 CHEMBL3310011 CHEMBL4572140 CHEMBL3780346 CHEMBL4790734 CHEMBL4740937 CHEMBL291647 CHEMBL4763998 CHEMBL3780057 CHEMBL4744494 CHEMBL293004 CHEMBL4788778 CHEMBL1796458 CHEMBL1796460
P50336 PF01593 CHEMBL65761 CHEMBL489085 CHEMBL447022 CHEMBL505492 CHEMBL1796456 CHEMBL65252 CHEMBL3309739 CHEMBL3310011 CHEMBL4572140 CHEMBL3780346 CHEMBL4790734 CHEMBL4740937 CHEMBL291647 CHEMBL4763998 CHEMBL3780057 CHEMBL4744494 CHEMBL293004 CHEMBL4788778 CHEMBL1796458 CHEMBL1796460
Q6NUM9 PF01593 CHEMBL65761 CHEMBL489085 CHEMBL447022 CHEMBL505492 CHEMBL1796456 CHEMBL65252 CHEMBL3309739 CHEMBL3310011 CHEMBL4572140 CHEMBL3780346 CHEMBL4790734 CHEMBL4740937 CHEMBL291647 CHEMBL4763998 CHEMBL3780057 CHEMBL4744494 CHEMBL293004 CHEMBL4788778 CHEMBL1796458 CHEMBL1796460
P27338 PF01593 CHEMBL65761 CHEMBL489085 CHEMBL447022 CHEMBL505492 CHEMBL1796456 CHEMBL65252 CHEMBL3309739 CHEMBL3310011 CHEMBL4572140 CHEMBL3780346 CHEMBL4790734 CHEMBL4740937 CHEMBL291647 CHEMBL4763998 CHEMBL3780057 CHEMBL4744494 CHEMBL293004 CHEMBL4788778 CHEMBL1796458 CHEMBL1796460
Q96RQ9 PF01593 CHEMBL65761 CHEMBL489085 CHEMBL447022 CHEMBL505492 CHEMBL1796456 CHEMBL65252 CHEMBL3309739 CHEMBL3310011 CHEMBL4572140 CHEMBL3780346 CHEMBL4790734 CHEMBL4740937 CHEMBL291647 CHEMBL4763998 CHEMBL3780057 CHEMBL4744494 CHEMBL293004 CHEMBL4788778 CHEMBL1796458 CHEMBL1796460
Q9ULX7 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
P23471 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
P22748 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
O43570 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
P43166 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
P00915 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
Q8WTZ4 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
P23470 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
P23280 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
Q16790 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
Q8N1Q1 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
P07451 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
P35219 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
Q9Y2D0 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
Q9NS85 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
P00918 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
O75493 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
P35218 PF00194 CHEMBL4565433 CHEMBL4533252 CHEMBL4591185
Q09470 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q96RP8 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9UL51 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q00975 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9H1D0 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q03721 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q01118 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
P17658 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q96D96 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q12809 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q96P56 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
P22459 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q8TD43 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
P35498 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
O43526 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
O43525 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q13698 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q15858 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9UI33 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9UL62 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q14573 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q16280 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9UQD0 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q7RTX7 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9NS40 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q7Z443 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9NSA2 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
P35499 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q96L42 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
P56696 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9NYG8 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q8TAE7 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q14643 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9H3M0 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q15413 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q15878 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9HCF6 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9UBN4 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9Y5S1 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9HCX4 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9ULD8 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q4G0N8 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q92953 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9NY46 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9NZV8 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9H252 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
P29973 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9H427 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q96T55 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q16281 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9UIX4 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
P48547 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
O75762 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q14524 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q96T54 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q14721 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9NPC2 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
O43497 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9UQ05 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9NQA5 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q96PR1 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q8NER1 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q9ULS6 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
Q92736 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
P16389 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
O60741 PF00520 CHEMBL3933724 CHEMBL3892579 CHEMBL3920575 CHEMBL3962647
